10001,90000,535.71
10002,60000,357.14
10003,60000,357.14
10004,60000,357.14
10005,52670,313.51
10006,52670,313.51
10007,42975,255.80
10008,22500,133.93
10009,22500,133.93
10010,52670,313.51
10011,50825,302.53
10012,38475,229.02
10013,24000,142.86
10014,24000,142.86
10015,53500,318.45
10016,42975,255.80
10017,41850,249.11
10018,22500,133.93
10019,22500,133.93
10020,23250,138.39
10021,23250,138.39
10022,24000,142.86
10023,22500,133.93
10024,22500,133.93
10025,24000,142.86
10026,24750,147.32
10027,24750,147.32
10028,24000,142.86
10029,22500,133.93
10030,22500,133.93
10031,22500,133.93
10032,52670,313.51
10033,52670,313.51
10034,52670,313.51
